model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,auc_roc_mean,auc_roc_std
AdaBoost,0.9626373626373628,0.014743305346152482,0.9597069352960241,0.015930500630734062,0.994014447884417,0.005180557439839499
DecisionTree,0.9032967032967033,0.03333132063319368,0.897114469453205,0.034718590387629006,0.8978844169246646,0.031868959422074086
ProjectRandomForest,0.9582417582417582,0.0196577404615366,0.9545613598945414,0.021640697049352734,0.9878224974200206,0.007959142242027243
SklearnRandomForest,0.9626373626373625,0.022787298190470026,0.9591698613244641,0.025029772444276385,0.9904540763673891,0.006623063804434162
