model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,auc_roc_mean,auc_roc_std
AdaBoost,0.8548728337474776,0.003320959995850601,0.78411276118809,0.006377886141964779,0.9084887577699261,0.0038093138497993207
DecisionTree,0.8155637411519097,0.0021799469928041023,0.7460949118632348,0.0035693597358396638,0.7651134030308416,0.0056797692908622036
ProjectRandomForest,0.8657220265556764,0.0015765073400596029,0.8014582768013494,0.002621948378177693,0.9183013542486387,0.0025113190021041902
SklearnRandomForest,0.8496173710709538,0.0024613942459284326,0.7845790061622072,0.0029536217664322844,0.8964749208367296,0.0035979781787577048
