model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,auc_roc_mean,auc_roc_std
AdaBoost,0.6250500000000001,0.008767215207806878,0.32197085451089585,0.008679567260603469,0.8896283954843408,0.002376889977098578
DecisionTree,0.8003499999999999,0.004338598564052675,0.7201751167149019,0.009390915587654898,0.8373617753622209,0.006568045412911864
ProjectRandomForest,0.817975,0.0029186897745392187,0.6598056452137382,0.01541275754701168,0.9737172723295302,0.0007448297878349625
SklearnRandomForest,0.863325,0.003881647523925882,0.7750278150566301,0.012037318173619761,0.9823856528807893,0.0006112591773855496
