n_estimators,train_acc,test_acc
1,0.7590742846605403,0.763701155074957
5,0.83421950394935,0.8350946178422217
10,0.8394750591634139,0.8400712705824527
15,0.8396594646095215,0.8405627918407471
20,0.8439315241110121,0.8444335217498157
25,0.8446691458954421,0.8463381666257066
30,0.8482343178535207,0.8467682477267142
35,0.8484187232996281,0.8462767264684198
40,0.8491256108430403,0.8472597689850087
45,0.8515536158834558,0.8488572130744655
50,0.8537664812367458,0.847444089456869
55,0.8539201524418355,0.8467682477267142
60,0.8537664812367458,0.8488572130744655
65,0.854473368780158,0.8495330548046203
70,0.8543504318160863,0.8481199311870239
75,0.8547192427083014,0.8496559351191939
80,0.8553646617696776,0.8489800933890391
85,0.8553953960106955,0.8494716146473335
90,0.8554261302517134,0.8490415335463258
95,0.8556720041798568,0.8488572130744655
100,0.8557642069029106,0.8488572130744655
105,0.8556412699388388,0.8490415335463258
110,0.8561330177951255,0.847136888670435
115,0.855610535697821,0.8472597689850087
120,0.8561022835541077,0.8470140083558614
125,0.8564096259642868,0.8458466453674122
130,0.8561330177951255,0.846215286311133
135,0.8564403602053048,0.8463996067829934
140,0.8564403602053048,0.8463996067829934
145,0.856348157482251,0.8464610469402801
150,0.856348157482251,0.8465839272548538
155,0.8564403602053048,0.846522487097567
160,0.856348157482251,0.846522487097567
165,0.856348157482251,0.846522487097567
170,0.8564403602053048,0.8467682477267142
175,0.856348157482251,0.8467682477267142
180,0.8564096259642868,0.8467682477267142
185,0.856348157482251,0.846829687884001
190,0.8564096259642868,0.846829687884001
195,0.8570243107846451,0.846522487097567
200,0.8564096259642868,0.8467682477267142
