role,dataset,source_file,preprocessing,train_rows,test_rows,features,classes,model_config,accuracy,macro_precision,macro_recall,macro_f1,fit_seconds,predict_seconds,oob_score
P2,Breast Cancer Wisconsin (WDBC),C:\Users\aytan.mardaliyeva\Downloads\wdbc.data,drop ID column; use 30 numeric diagnosis features; stratified 80/20 split,456,113,30,2,"AdaBoostClassifier(n_estimators=25, learning_rate=0.8, criterion='gini')",0.9469,0.9432,0.9432,0.9432,14.05,0.03,
P2,Adult Income,adult.data + adult.test,official train/test split; numeric columns kept; categorical columns one-hot encoded; '?' treated as Unknown,32561,16281,108,2,"AdaBoostClassifier(n_estimators=25, learning_rate=0.8, criterion='gini')",0.8489,0.8167,0.7333,0.7612,150.53,4.35,
P2,Covertype,C:\Users\aytan.mardaliyeva\Downloads\covtype.data,deterministic stratified 5000-row subset; 54 numeric/binary features; stratified 80/20 split,4000,1000,54,7,"AdaBoostClassifier(n_estimators=25, learning_rate=0.8, criterion='gini')",0.6470,0.2521,0.2995,0.2715,31.35,0.60,
