n_estimators,test_acc,oob_acc
1,0.9210526315789473,0.9197530864197531
5,0.9649122807017544,0.9253012048192771
10,0.9649122807017544,0.9380530973451328
15,0.9649122807017544,0.9361233480176211
20,0.956140350877193,0.945054945054945
25,0.9649122807017544,0.9406593406593406
30,0.9649122807017544,0.945054945054945
35,0.9649122807017544,0.9494505494505494
40,0.9649122807017544,0.9494505494505494
45,0.9649122807017544,0.9516483516483516
50,0.9649122807017544,0.9516483516483516
55,0.9649122807017544,0.9494505494505494
60,0.956140350877193,0.945054945054945
65,0.9649122807017544,0.9472527472527472
70,0.9649122807017544,0.9516483516483516
75,0.9649122807017544,0.9516483516483516
80,0.956140350877193,0.9516483516483516
85,0.956140350877193,0.9516483516483516
90,0.9649122807017544,0.9494505494505494
95,0.956140350877193,0.9516483516483516
100,0.956140350877193,0.9516483516483516
105,0.956140350877193,0.9538461538461539
110,0.956140350877193,0.9560439560439561
115,0.956140350877193,0.9560439560439561
120,0.9649122807017544,0.9582417582417583
125,0.956140350877193,0.9560439560439561
130,0.956140350877193,0.9560439560439561
135,0.956140350877193,0.9582417582417583
140,0.956140350877193,0.9560439560439561
145,0.956140350877193,0.9538461538461539
150,0.956140350877193,0.9538461538461539
155,0.956140350877193,0.9560439560439561
160,0.956140350877193,0.9560439560439561
165,0.956140350877193,0.9582417582417583
170,0.956140350877193,0.9626373626373627
175,0.956140350877193,0.9582417582417583
180,0.956140350877193,0.9604395604395605
185,0.956140350877193,0.9626373626373627
190,0.956140350877193,0.9604395604395605
195,0.956140350877193,0.9604395604395605
200,0.956140350877193,0.9604395604395605
