max_depth,test_acc,oob_acc
1,0.9122807017543859,0.9274725274725275
2,0.9210526315789473,0.9362637362637363
3,0.9298245614035088,0.9428571428571428
4,0.956140350877193,0.9494505494505494
5,0.9473684210526315,0.9516483516483516
6,0.9473684210526315,0.9560439560439561
7,0.9649122807017544,0.945054945054945
8,0.956140350877193,0.9560439560439561
9,0.956140350877193,0.9516483516483516
10,0.956140350877193,0.9516483516483516
11,0.956140350877193,0.9516483516483516
12,0.956140350877193,0.9516483516483516
13,0.956140350877193,0.9516483516483516
14,0.956140350877193,0.9516483516483516
15,0.956140350877193,0.9516483516483516
16,0.956140350877193,0.9516483516483516
17,0.956140350877193,0.9516483516483516
18,0.956140350877193,0.9516483516483516
19,0.956140350877193,0.9516483516483516
20,0.956140350877193,0.9516483516483516
