model,bias_sq,variance,brier,acc_mean
RandomForest,0.02941467298245615,0.0037767656140350876,0.03319143859649122,0.967719298245614
AdaBoost,0.017863559999714097,0.007980053447132481,0.02584361344684658,0.970877192982456
