model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,auc_roc_mean,auc_roc_std
AdaBoost,0.627275,0.016510981194344514,0.3315744185289459,0.007938106379222364,0.8912980890289756,0.005706437201107962
DecisionTree,0.797225,0.007014716672824335,0.70901781159716,0.024795814688959025,0.8316940676706643,0.01549347579780153
ProjectRandomForest,0.8206749999999999,0.0028947689890559763,0.6679515565334754,0.00967361572347094,0.9743976075644237,0.0009305564501554337
SklearnRandomForest,0.8629999999999999,0.002857282362665607,0.7751361842189747,0.007545061745586166,0.9820562391639905,0.0007929997172470905
